Grupo,beta_educacion,beta_exp,R2,N,Ciudad,Año
Nacional,11.3,1.87,0.299,8492,Armenia,2022
Nacional,13.5,2.94,0.238,11412,Barranquilla A.M.,2022
Nacional,15.7,2.95,0.356,11163,Bogotá D.C.,2022
Nacional,11.0,3.48,0.244,11393,Bucaramanga A.M.,2022
Nacional,12.4,3.06,0.25,13164,Cali A.M.,2022
Nacional,13.3,2.93,0.245,11636,Cartagena,2022
Nacional,9.9,2.65,0.196,10602,Cúcuta A.M.,2022
Nacional,11.7,3.08,0.279,7703,Florencia,2022
Nacional,11.6,2.78,0.337,8112,Ibagué,2022
Nacional,11.4,3.12,0.257,12877,Manizales A.M.,2022
Nacional,12.4,2.99,0.247,15075,Medellín A.M.,2022
Nacional,12.2,2.45,0.281,7589,Montería,2022
Nacional,13.4,3.48,0.32,10074,Pasto,2022
Nacional,9.3,2.61,0.22,12248,Pereira A.M.,2022
Nacional,14.5,3.9,0.338,8854,Popayán,2022
Nacional,11.3,3.83,0.263,7365,Quibdó,2022
Nacional,11.5,3.03,0.272,7614,Riohacha,2022
Nacional,9.4,0.83,0.209,6213,San Andrés,2022
Nacional,11.1,2.29,0.23,9467,Santa Marta,2022
Nacional,13.8,2.7,0.27,9117,Sincelejo,2022
Nacional,12.5,2.94,0.272,359153,Todas (Panorama Nacional),2022
Nacional,13.9,3.9,0.336,8115,Tunja,2022
Nacional,9.9,2.06,0.221,8132,Valledupar,2022
Nacional,11.3,3.54,0.269,9633,Villavicencio,2022
