Departamento,DPTO,PET_M,PEA_M,Ocupados_M,Desocupados_M,TD_%,TGP_%,TO_%,CV_TD_%,IC_TD_inf,IC_TD_sup,Precision_TD,Mediana_COP,Mediana_SMMLV,CV_Mediana_%,Cotiza_pension_%,Informalidad_%,Desea_cambiar_%,Pct_urbano_%,n_registros,N_expandido_M,Advertencia
Arauca,81,0.056,0.042,0.034,0.009,20.9,75.4,60.6,6.5,18.2,23.55,✅ Precisión alta,1423500,1.0,4.1,38.4,61.6,12.7,100.0,4350,0.081,
Putumayo,86,0.029,0.019,0.016,0.004,19.5,65.7,54.2,7.5,16.62,22.37,⚠️  Precisión aceptable,1800000,1.26,4.2,48.4,51.6,9.8,100.0,3968,0.041,"⚠️  MUESTRA INSUFICIENTE en Putumayo: N̂=40,612 expandidos < mínimo 50,000. Las estimaciones pueden no ser confiables."
San Andrés y Providencia,88,0.029,0.022,0.019,0.003,13.9,76.3,66.7,6.0,12.26,15.56,✅ Precisión alta,1700000,1.19,3.5,71.8,28.2,0.8,100.0,7648,0.04,"⚠️  MUESTRA INSUFICIENTE en San Andrés y Providencia: N̂=40,274 expandidos < mínimo 50,000. Las estimaciones pueden no ser confiables."
Chocó,27,0.347,0.145,0.128,0.019,13.3,42.0,36.9,4.0,12.27,14.35,✅ Precisión alta,950000,0.67,2.9,19.4,80.6,8.5,42.7,28806,0.568,
Vichada,99,0.01,0.008,0.007,0.001,13.1,81.3,71.6,10.5,10.44,15.83,⚠️  Precisión aceptable,1500000,1.05,5.2,42.9,57.1,27.0,100.0,2827,0.015,"⚠️  MUESTRA INSUFICIENTE en Vichada: N̂=14,870 expandidos < mínimo 50,000. Las estimaciones pueden no ser confiables."
La Guajira,44,0.556,0.377,0.336,0.045,11.9,67.8,60.5,4.0,10.97,12.85,✅ Precisión alta,650000,0.46,3.7,18.4,81.6,28.8,46.3,27650,0.971,
Guaviare,95,0.027,0.024,0.022,0.003,11.4,90.0,80.4,8.8,9.46,13.41,⚠️  Precisión aceptable,1450000,1.02,4.8,35.5,64.5,7.0,100.0,3984,0.04,"⚠️  MUESTRA INSUFICIENTE en Guaviare: N̂=39,566 expandidos < mínimo 50,000. Las estimaciones pueden no ser confiables."
Norte de Santander,54,1.09,0.708,0.635,0.08,11.3,65.0,58.3,3.9,10.41,12.11,✅ Precisión alta,1200000,0.84,1.9,28.8,71.2,27.5,79.8,28976,1.569,
Córdoba,23,1.22,0.857,0.768,0.096,11.2,70.2,62.9,4.1,10.3,12.1,✅ Precisión alta,720000,0.51,4.0,16.6,83.4,36.1,51.3,24722,1.771,
Sucre,70,0.622,0.433,0.389,0.048,11.2,69.5,62.5,3.8,10.37,12.02,✅ Precisión alta,700000,0.49,3.9,16.2,83.8,38.2,62.4,29460,0.921,
Tolima,73,0.92,0.625,0.562,0.069,11.0,67.9,61.0,4.2,10.14,11.94,✅ Precisión alta,1300000,0.91,3.0,29.9,70.1,15.8,70.0,24216,1.296,
Quindío,63,0.404,0.266,0.241,0.028,10.4,65.7,59.6,3.9,9.6,11.19,✅ Precisión alta,1423500,1.0,2.2,45.5,54.5,18.1,89.8,28801,0.541,
Caquetá,18,0.26,0.164,0.148,0.017,10.4,63.0,56.9,4.4,9.48,11.27,✅ Precisión alta,1390000,0.98,2.5,23.2,76.8,21.6,65.6,25265,0.4,
Cesar,20,0.838,0.536,0.487,0.054,10.0,64.0,58.1,4.5,9.13,10.89,✅ Precisión alta,1200000,0.84,1.9,27.2,72.8,13.2,74.8,26913,1.26,
Santander,68,1.589,1.089,0.992,0.108,9.9,68.6,62.4,3.6,9.19,10.57,✅ Precisión alta,1423500,1.0,2.3,42.6,57.4,9.7,77.6,36502,2.235,
Bolívar,13,1.414,0.908,0.828,0.089,9.8,64.2,58.5,3.9,9.01,10.51,✅ Precisión alta,1100000,0.77,2.1,29.8,70.2,20.5,74.1,32470,2.064,
Boyacá,15,0.899,0.549,0.499,0.053,9.7,61.0,55.5,4.4,8.84,10.51,✅ Precisión alta,1300000,0.91,3.1,37.7,62.3,15.5,62.6,25794,1.244,
Magdalena,47,0.938,0.623,0.568,0.061,9.7,66.4,60.5,4.0,8.96,10.49,✅ Precisión alta,1000000,0.7,2.3,25.4,74.6,26.0,69.0,32258,1.402,
Cundinamarca,25,2.287,1.751,1.599,0.166,9.5,76.6,69.9,5.5,8.44,10.47,✅ Precisión alta,1423500,1.0,2.9,55.9,44.1,17.1,77.0,14863,3.199,
Valle del Cauca,76,3.057,2.127,1.942,0.2,9.4,69.6,63.5,3.5,8.77,10.07,✅ Precisión alta,1423500,1.0,1.9,48.0,52.0,19.8,85.7,37755,4.24,
Casanare,85,0.102,0.082,0.075,0.008,9.3,80.4,73.5,9.6,7.52,11.01,⚠️  Precisión aceptable,1500000,1.05,5.5,47.5,52.5,14.4,100.0,4748,0.146,
Meta,50,0.753,0.539,0.494,0.048,8.9,71.5,65.5,4.2,8.21,9.67,✅ Precisión alta,1423500,1.0,2.1,38.3,61.7,15.2,76.7,29602,1.103,
Caldas,17,0.729,0.479,0.441,0.041,8.6,65.8,60.6,3.8,7.98,9.27,✅ Precisión alta,1423500,1.0,2.1,49.2,50.8,13.0,76.8,35427,0.982,
Atlántico,08,1.845,1.278,1.178,0.109,8.6,69.3,63.9,4.1,7.87,9.24,✅ Precisión alta,1423000,1.0,1.8,39.3,60.7,21.5,94.8,32685,2.633,
Bogotá D.C.,11,5.558,4.291,3.961,0.357,8.3,77.2,71.3,4.5,7.58,9.04,✅ Precisión alta,1700000,1.19,3.1,63.6,36.4,17.0,99.7,24242,7.419,
Risaralda,66,0.691,0.459,0.425,0.038,8.2,66.5,61.5,4.1,7.51,8.82,✅ Precisión alta,1423500,1.0,1.9,49.9,50.1,11.5,80.1,33477,0.929,
Antioquia,05,4.757,3.336,3.105,0.255,7.7,70.1,65.3,3.6,7.12,8.2,✅ Precisión alta,1500000,1.05,2.3,53.3,46.7,11.3,80.6,43284,6.507,
Guainía,94,0.015,0.009,0.008,0.001,7.1,59.4,55.7,14.1,5.16,9.1,⚠️  Precisión aceptable,1500000,1.05,4.8,30.9,69.1,1.3,100.0,3853,0.023,"⚠️  MUESTRA INSUFICIENTE en Guainía: N̂=22,836 expandidos < mínimo 50,000. Las estimaciones pueden no ser confiables."
Huila,41,0.746,0.464,0.434,0.033,7.0,62.2,58.2,5.2,6.3,7.74,✅ Precisión alta,1200000,0.84,2.1,24.3,75.7,8.6,62.0,27024,1.097,
Cauca,19,0.964,0.691,0.65,0.045,6.5,71.7,67.5,5.3,5.8,7.16,✅ Precisión alta,800000,0.56,3.4,17.6,82.4,29.5,38.1,25905,1.397,
Vaupés,97,0.008,0.005,0.005,0.0,6.4,65.8,61.8,12.6,4.82,7.97,⚠️  Precisión aceptable,1800000,1.26,4.0,51.1,48.9,7.4,100.0,4858,0.011,"⚠️  MUESTRA INSUFICIENTE en Vaupés: N̂=11,178 expandidos < mínimo 50,000. Las estimaciones pueden no ser confiables."
Nariño,52,1.086,0.884,0.834,0.053,6.0,81.4,76.8,4.5,5.49,6.56,✅ Precisión alta,790000,0.55,3.0,15.6,84.4,35.7,43.9,32886,1.538,
Amazonas,91,0.024,0.016,0.015,0.001,4.2,66.0,63.4,17.8,2.76,5.74,⚠️⚠️ Precisión baja,1500000,1.05,3.5,40.3,59.7,2.7,100.0,3754,0.037,"⚠️  MUESTRA INSUFICIENTE en Amazonas: N̂=37,331 expandidos < mínimo 50,000. Las estimaciones pueden no ser confiables."
