Rama,ICE,Ocupados_M,Año
Actividades financieras y de seguros,90.96264868940364,0.43621274085501177,2025
Información y comunicaciones,90.19650603209342,0.40619864477972,2025
"Administración pública y defensa, educación y atención de la salud humana",89.77824892933637,2.883498646965862,2025
Actividades inmobiliarias,87.05477430575603,0.3219598148515138,2025
"Actividades profesionales, científicas, técnicas y de servicios administrativos",73.16444367358376,1.8118460083671133,2025
Industrias manufactureras,71.59546877713255,2.60932404385044,2025
"Suministro de electricidad, gas, agua y gestión de desechos^",71.02518590727591,0.6167356829725418,2025
Construcción,62.532553461951665,1.6046069266152119,2025
Comercio y reparación de vehículos,60.554529999207205,4.10440310854699,2025
Transporte y almacenamiento,57.91028504150816,1.8197436759704233,2025
"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",55.85014721947425,1.9915203355676798,2025
Alojamiento y servicios de comida,52.27538305759306,1.834416960437299,2025
"Agricultura, ganadería, caza, silvicultura y pesca",51.57862200814273,3.3861031391773357,2025
