RAMA,Hombres,Mujeres,Total,Dist_%,Dist_H_%,Dist_M_%,Total_miles,Hombres_miles,Mujeres_miles,Año
Comercio y reparación de vehículos,2225319.202675163,1879083.9058718272,4104403.10854699,17.2,16.0,19.0,4104,2225,1879,2025
"Agricultura, ganadería, caza, silvicultura y pesca",2809210.444400999,576892.6947763365,3386103.139177336,14.2,20.2,5.8,3386,2809,577,2025
"Administración pública y defensa, educación y atención de la salud humana",1067090.6227898824,1816408.0241759801,2883498.6469658623,12.1,7.7,18.4,2883,1067,1816,2025
Industrias manufactureras,1516339.537459543,1092984.5063908973,2609324.0438504405,11.0,10.9,11.0,2609,1516,1093,2025
"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",637512.392378439,1354007.9431892408,1991520.3355676797,8.4,4.6,13.7,1992,638,1354,2025
Alojamiento y servicios de comida,590818.6890710774,1243598.2713662216,1834416.960437299,7.7,4.2,12.6,1834,591,1244,2025
Transporte y almacenamiento,1635540.7576265219,184202.9183439015,1819743.6759704233,7.6,11.7,1.9,1820,1636,184,2025
"Actividades profesionales, científicas, técnicas y de servicios administrativos",794618.6529594363,1017227.3554076768,1811846.008367113,7.6,5.7,10.3,1812,795,1017,2025
Construcción,1494352.8991145417,110254.02750067017,1604606.9266152119,6.7,10.7,1.1,1605,1494,110,2025
"Suministro de electricidad, gas, agua y gestión de desechos^",496129.7693761388,120605.91359640291,616735.6829725418,2.6,3.6,1.2,617,496,121,2025
Actividades financieras y de seguros,189186.73450854616,247026.00634646558,436212.74085501174,1.8,1.4,2.5,436,189,247,2025
Información y comunicaciones,264549.66755801835,141648.97722170164,406198.64477972,1.7,1.9,1.4,406,265,142,2025
Actividades inmobiliarias,212953.65161325943,109006.16323825442,321959.81485151383,1.4,1.5,1.1,322,213,109,2025
