Rama,N_personas,Media,Mediana,P10,P25,P75,P90,Std,CV_%,IQR,Media_SMMLV,Mediana_SMMLV
"Administración pública y defensa, educación y atención de la salud humana",2585,3375906,2500000,1400000,1500000,4000000,6400000,3358628,99.5,2500000,2.37,1.76
Información y comunicaciones,366,4014230,2500000,1423000,1453500,4500000,8500000,4392546,109.4,3046500,2.82,1.76
Actividades financieras y de seguros,388,3961755,2500000,1423000,1600000,4400000,8000000,4402514,111.1,2800000,2.78,1.76
Actividades inmobiliarias,287,2107881,1600000,1400000,1423500,2000000,3000000,2251669,106.8,576500,1.48,1.12
"Actividades profesionales, científicas, técnicas y de servicios administrativos",1622,2421164,1500000,400000,800000,2500000,4780000,3902947,161.2,1700000,1.7,1.05
"Suministro de electricidad, gas, agua y gestión de desechos^",557,2188252,1423500,360000,900000,2200000,4000000,3034774,138.7,1300000,1.54,1.0
Construcción,1439,1635335,1423500,600000,1000000,1800000,2575000,1659303,101.5,800000,1.15,1.0
Industrias manufactureras,2305,1848360,1423500,380000,1000000,1900000,3000000,2408554,130.3,900000,1.3,1.0
Comercio y reparación de vehículos,3592,1647108,1423000,300000,750000,1700000,2800000,2649568,160.9,950000,1.16,1.0
Transporte y almacenamiento,1641,1535537,1400000,500000,900000,1800000,2500000,1522441,99.1,900000,1.08,0.98
Alojamiento y servicios de comida,1585,1240792,1150000,250000,600000,1540000,2000000,1458182,117.5,940000,0.87,0.81
"Actividades artísticas, entretenimiento, recreación y otras actividades de servicio",1788,1335196,1020000,280000,550000,1600000,2323500,1654654,123.9,1050000,0.94,0.72
"Agricultura, ganadería, caza, silvicultura y pesca",2881,1095777,900000,300000,520000,1423500,1750000,1572327,143.5,903500,0.77,0.63
